usageKey,scientificName,canonicalName,authorship,rank,code,status,genericName,specificEpithet,type,formattedName,matchType,confidence,kingdom,phylum,class,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,value,easin_scientificName,easin_kingdom,easin_EASINID,is_alternative,infraspecificEpithet,variety,varietyKey,acceptedUsageKey,acceptedScientificName,subspecies,subspeciesKey,processingFlags,note,form,formKey,easin_Name,easin_Authorship,easin_FirstIntroductionsInEU,easin_PresentInCountries,easin_Status,easin_HasImpact,easin_IsEUConcern,easin_EUConcernName,easin_IsOutermostConcern,easin_ConcernedOutermostRegions,easin_IsMSConcern,easin_ConcernedMS,easin_IsPartNative,easin_NativeRange,easin_IsHorizonScanning,easin_LastRevisionDate,easin_Phylum,easin_Class,easin_Order,easin_Family,easin_ImpactSources,easin_ImpactOnSectors,easin_CommonNames,easin_Synonyms,easin_CBD_Pathways
5754817,"Abax parallelus (Duftschmid, 1812)",Abax parallelus,"(Duftschmid, 1812)",SPECIES,ZOOLOGICAL,ACCEPTED,Abax,parallelus,SCIENTIFIC,"<i>Abax</i> <i>parallelus</i> (Duftschmid, 1812)",EXACT,100,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Abax,Abax parallelus,1,54,216,1470,3792,4988750,5754817,FALSE,"Abax parallelus (Duftschmid, 1812)",Animalia,R00001,FALSE,,,,,,,,,,,,Abax parallelus,"(Duftschmid, 1812)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Arthropoda,Insecta,Coleoptera,Carabidae,,,,,
4567113,"Abida polyodon (Draparnaud, 1801)",Abida polyodon,"(Draparnaud, 1801)",SPECIES,ZOOLOGICAL,ACCEPTED,Abida,polyodon,SCIENTIFIC,"<i>Abida</i> <i>polyodon</i> (Draparnaud, 1801)",EXACT,100,Animalia,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,Abida,Abida polyodon,1,52,225,1456,3244092,4406374,4567113,FALSE,"Abida polyodon (Draparnaud, 1801)",Animalia,R19170,FALSE,,,,,,,,,,,,Abida polyodon,"(Draparnaud, 1801)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,,,,,
2685484,Abies alba Mill.,Abies alba,Mill.,SPECIES,,ACCEPTED,Abies,alba,SCIENTIFIC,<i>Abies</i> <i>alba</i> Mill.,EXACT,100,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies alba,6,7707728,194,640,3925,2684876,2685484,FALSE,Abies alba Mill.,Plantae,R00005,FALSE,,,,,,,,,,,,Abies alba,Mill.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
2685383,Abies balsamea (L.) Mill.,Abies balsamea,(L.) Mill.,SPECIES,BOTANICAL,ACCEPTED,Abies,balsamea,SCIENTIFIC,<i>Abies</i> <i>balsamea</i> (L.) Mill.,EXACT,100,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies balsamea,6,7707728,194,640,3925,2684876,2685383,FALSE,Abies balsamea (L.) Mill.,Plantae,R00006,FALSE,,,,,,,,,,,,Abies balsamea,(L.) Mill.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
2685397,Abies balsamea var. phanerolepis Fernald,Abies balsamea phanerolepis,Fernald,VARIETY,,ACCEPTED,Abies,balsamea,SCIENTIFIC,<i>Abies</i> <i>balsamea</i> var. <i>phanerolepis</i> Fernald,EXACT,100,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies balsamea,6,7707728,194,640,3925,2684876,2685383,FALSE,Abies balsamea var. phanerolepis Fernald,Plantae,R18689,FALSE,phanerolepis,Abies balsamea phanerolepis,2685397,,,,,,,,,Abies balsamea var. phanerolepis,Fernald,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
2685326,Abies cephalonica Loudon,Abies cephalonica,Loudon,SPECIES,,ACCEPTED,Abies,cephalonica,SCIENTIFIC,<i>Abies</i> <i>cephalonica</i> Loudon,EXACT,100,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies cephalonica,6,7707728,194,640,3925,2684876,2685326,FALSE,Abies cephalonica Loudon,Plantae,R00007,FALSE,,,,,,,,,,,,Abies cephalonica,Loudon,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
2685580,Abies concolor (Gordon) Lindl. ex Hildebr.,Abies concolor,(Gordon) Lindl. ex Hildebr.,SPECIES,BOTANICAL,ACCEPTED,Abies,concolor,SCIENTIFIC,<i>Abies</i> <i>concolor</i> (Gordon) Lindl. ex Hildebr.,EXACT,100,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies concolor,6,7707728,194,640,3925,2684876,2685580,FALSE,Abies concolor (Gordon) Lindl. ex Hildebr.,Plantae,R00008,FALSE,,,,,,,,,,,,Abies concolor,(Gordon) Lindl. ex Hildebr.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
2685318,Abies fraseri (Pursh) Poir.,Abies fraseri,(Pursh) Poir.,SPECIES,BOTANICAL,ACCEPTED,Abies,fraseri,SCIENTIFIC,<i>Abies</i> <i>fraseri</i> (Pursh) Poir.,EXACT,100,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies fraseri,6,7707728,194,640,3925,2684876,2685318,FALSE,Abies fraseri (Pursh) Poir.,Plantae,R00010,FALSE,,,,,,,,,,,,Abies fraseri,(Pursh) Poir.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
2685361,Abies grandis (Douglas ex D.Don) Lindl.,Abies grandis,(Douglas ex D.Don) Lindl.,SPECIES,BOTANICAL,ACCEPTED,Abies,grandis,SCIENTIFIC,<i>Abies</i> <i>grandis</i> (Douglas ex D.Don) Lindl.,EXACT,100,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies grandis,6,7707728,194,640,3925,2684876,2685361,FALSE,Abies grandis (Douglas ex D.Don) Lindl.,Plantae,R00011,FALSE,,,,,,,,,,,,Abies grandis,(Douglas ex D.Don) Lindl.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
7719191,Abies lasiocarpa Lindl. & Gordon,Abies lasiocarpa,Lindl. & Gordon,SPECIES,,SYNONYM,Abies,lasiocarpa,SCIENTIFIC,<i>Abies</i> <i>lasiocarpa</i> Lindl. & Gordon,EXACT,100,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies grandis,6,7707728,194,640,3925,2684876,2685361,TRUE,Abies lasiocarpa Lindl. & Gordon,Plantae,R00012,FALSE,,,,2685361,Abies grandis (Douglas ex D.Don) Lindl.,,,,,,,Abies lasiocarpa,Lindl. & Gordon,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
